cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0124,icscert,2023-01-09T19:11:50.213Z,2023-02-02T22:59:15.110Z,2023-02-02T22:59:15.110Z,all,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
2023-0125,VulDB,2023-01-09T20:49:21.260Z,2023-01-09T20:51:06.425Z,2024-02-13T07:43:49.952Z,1.30,LOW,2.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:N/I:L/A:N
2023-0126,sonicwall,2023-01-09T00:00:00,2023-01-19T00:00:00,2023-01-19T00:00:00,12.4.2,,,
2023-0127,tenable,2023-01-09T00:00:00,2023-02-11T00:00:00,2023-02-11T00:00:00,DWL-2600AP,,,
2023-0128,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:28.860461,unspecified,,,
2023-0129,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:07:40.973066,unspecified,,,
2023-0130,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:22.613620,unspecified,,,
2023-0131,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:08:35.174914,unspecified,,,
2023-0132,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:09:08.565881,unspecified,,,
2023-0133,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:16.400048,unspecified,,,
2023-0134,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:07:08.811111,unspecified,,,
2023-0135,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:42.999711,unspecified,,,
2023-0136,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:27.285636,unspecified,,,
2023-0137,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:07:15.083907,unspecified,,,
2023-0138,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:07:23.063244,unspecified,,,
2023-0139,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:44.455953,unspecified,,,
2023-0140,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:08:05.091645,unspecified,,,
2023-0141,Chrome,2023-01-09T00:00:00,2023-01-10T00:00:00,2023-11-25T11:06:57.508298,unspecified,,,
2023-0142,synology,2023-01-10T02:14:16.029Z,2023-06-13T06:52:50.745Z,2023-06-13T11:17:29.816Z,7.2,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N
2023-0143,WPScan,2023-01-10T03:05:57.754Z,2023-02-06T19:59:17.384Z,2023-02-06T19:59:17.384Z,0,,,
2023-0144,WPScan,2023-01-10T03:21:55.287Z,2023-02-06T19:59:26.720Z,2023-02-06T19:59:26.720Z,0,,,
2023-0145,WPScan,2023-01-10T10:37:08.147Z,2023-03-20T15:52:12.480Z,2023-03-20T15:52:12.480Z,0,,,
2023-0146,WPScan,2023-01-10T10:57:56.900Z,2023-02-06T19:59:35.389Z,2023-02-06T19:59:35.389Z,0,,,
2023-0147,WPScan,2023-01-10T10:58:01.572Z,2023-02-06T19:59:41.302Z,2023-02-06T19:59:41.302Z,0,,,
2023-0148,WPScan,2023-01-10T10:58:05.126Z,2023-02-06T19:59:22.291Z,2023-02-06T19:59:22.291Z,0,,,
2023-0149,WPScan,2023-01-10T10:58:10.771Z,2023-02-06T19:59:30.480Z,2023-03-29T13:15:09.334Z,0,,,
2023-0150,WPScan,2023-01-10T10:58:13.951Z,2023-02-06T19:59:36.221Z,2023-03-17T08:55:00.811Z,0,,,
2023-0151,WPScan,2023-01-10T10:58:18.464Z,2023-02-13T14:32:22.947Z,2023-02-13T14:32:22.947Z,0,,,
2023-0152,WPScan,2023-01-10T10:58:23.541Z,2023-06-05T13:39:00.208Z,2023-06-05T13:39:00.208Z,0,,,
2023-0153,WPScan,2023-01-10T10:58:27.746Z,2023-02-06T19:59:28.523Z,2023-02-06T19:59:28.523Z,0,,,
2023-0154,WPScan,2023-01-10T11:14:06.128Z,2023-02-06T19:59:11.729Z,2023-02-06T19:59:11.729Z,0,,,
